Dataset,Número de Cidades,Algoritmo,Peso,Tempo de Execução,Uso de Memória,Desvio Percentual
berlin52,52,twiceAroundTheTreeTSP,10114,0.05673408508300781,62.6640625,34.102360116679925
berlin52,52,christofidesTSP,8591,0.12769007682800293,63.046875,13.90877751259613
kroA100,100,twiceAroundTheTreeTSP,27210,0.09729170799255371,64.421875,27.85452495066253
kroA100,100,christofidesTSP,23293,0.5720152854919434,65.234375,9.44929987783103
tsp225,225,twiceAroundTheTreeTSP,5161,0.4646592140197754,72.89453125,31.792645556690502
tsp225,225,christofidesTSP,4397,1.6433289051055908,73.72265625,12.2829417773238
pa561,561,twiceAroundTheTreeTSP,3963,1.881596565246582,127.390625,43.43105320304018
pa561,561,christofidesTSP,3180,34.942272901535034,127.6875,15.092290988056462
pcb442,442,twiceAroundTheTreeTSP,69223,1.1689400672912598,106.19140625,36.324786324786324
pcb442,442,christofidesTSP,54868,13.856115579605103,106.87109375,8.054669344991925
